architecture,1yr,2yr,3yr,4yr,5yr,8yr
catboost,1.65770889905177,1.2599575289261615,1.2003654477450723,1.0884754707034079,1.060641289922861,1.036384230395883
lightgbm,1.6096708703648601,1.2544498172688117,1.2381566909975974,1.07431564726549,1.0383225086309051,1.0067650390913618
linear,0.9481572179572939,0.907029970560696,0.8794343314991454,0.8640923628530998,0.8632613045292947,0.8865781717426906
mlp,0.9200850058342198,0.9021908706904648,0.8741114068970948,0.8609640792480207,0.8640477567159205,0.8865210577638066
xgboost,1.1829260696437067,1.0986965140273242,1.0463637287575216,0.9991041931382098,0.9885342205358543,0.9615253726919868
