ablation_group,linear,mlp,xgboost,lightgbm,catboost
Bias,0.037,0.041,0.023,0.024,0.006
ECMWF,-0.0,-0.0,0.018,0.008,-0.017
Lags,-0.0,-0.001,0.014,0.007,-0.031
NWP_atmosphere,-0.003,-0.002,0.01,-0.009,0.008
NWP_primary,0.014,0.101,0.473,0.45,0.356
Physics,0.003,0.004,-0.002,0.008,-0.026
Rolling,-0.002,-0.0,-0.014,-0.013,-0.033
Time,-0.001,0.001,0.017,-0.005,-0.0
