architecture,1yr,2yr,3yr,4yr,5yr,8yr
catboost,1.649341050437658,1.4327757808311699,1.3450188481392875,1.246551871049897,1.2150886692080038,1.1680375437796688
lightgbm,1.6503576695255275,1.4119465188407652,1.4145755575473598,1.2381528630551413,1.2174198282924735,1.1917948758535226
linear,1.1179214263662096,1.0778024308618142,1.0605968597493018,1.0561569214831603,1.0513832304758057,1.0726698178956826
mlp,1.0929492625925528,1.0755347980432697,1.0622438099615397,1.0552696827552985,1.0545947280631465,1.0662478942763003
xgboost,1.3776582500798271,1.2906955384853631,1.2473024380038435,1.1871870556259885,1.1977532260250285,1.166142012189779
