target,architecture,mean_mae,se,n_stations
MaxT,linear,0.879,0.036,28
MaxT,mlp,0.874,0.034,28
MaxT,xgboost,1.046,0.041,28
MaxT,lightgbm,1.238,0.055,28
MaxT,catboost,1.2,0.039,28
MinT,linear,1.061,0.041,28
MinT,mlp,1.062,0.04,28
MinT,xgboost,1.247,0.047,28
MinT,lightgbm,1.415,0.063,28
MinT,catboost,1.345,0.049,28
