target_variable,Bias,ECMWF,Lags,NWP_atmosphere,NWP_primary,Physics,Rolling,Time
MaxT,0.026,0.002,-0.002,0.001,0.279,-0.003,-0.012,0.002
MinT,0.022,-0.002,-0.003,0.006,0.45,0.001,-0.001,-0.002
